config_id,eval_accuracy,eval_loss,train_loss,training_time,total_steps,success,learning_rate,batch_size,num_epochs,weight_decay,max_token_length,scheduler_type,optimizer_type,gradient_accumulation_steps,fp16,warmup_steps,max_grad_norm,dropout_rate,label_smoothing,lr_scheduler_type,dataloader_num_workers,save_strategy,evaluation_strategy,logging_steps,adam_beta1,adam_beta2,adam_epsilon
1,0.8240000009536743,0.8328447341918945,1.1824532625967996,471.0445,285,True,1e-05,4,5,0.0,1024,linear,adamw,4,True,100,1.0,0.2,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
2,0.8560000061988831,0.7342912554740906,0.9936763464886209,516.4818,575,True,1e-05,4,5,0.0,1024,cosine,adamw,2,True,100,2.0,0.2,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
3,0.5040000081062317,1.360704779624939,1.5551301922714502,508.6584,285,True,1e-05,4,5,0.01,1024,linear,adamw,4,True,0,1.0,0.2,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
4,0.8799999952316284,0.44864723086357117,0.26225914167321246,540.3267,575,True,1e-05,4,5,0.01,1024,cosine,adamw,2,True,0,2.0,0.1,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
5,0.8960000276565552,0.4398375451564789,0.23003781171318907,750.0118,805,True,1e-05,4,7,0.0,1024,linear,adamw,2,True,0,2.0,0.1,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
6,0.8240000009536743,0.8160340785980225,1.009231720353129,709.2269,399,True,1e-05,4,7,0.0,1024,cosine,adamw,4,True,100,1.0,0.2,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
7,0.7599999904632568,0.7415932416915894,1.182487478232324,696.4385,399,True,1e-05,4,7,0.01,1024,linear,adamw,4,True,0,1.0,0.2,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
8,0.8560000061988831,0.6873800158500671,0.24939020192771225,752.6105,805,True,1e-05,4,7,0.01,1024,cosine,adamw,2,True,0,1.0,0.1,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
9,0.8479999899864197,0.42031267285346985,0.6257170266118542,436.8476,580,True,1e-05,8,5,0.0,1024,linear,adamw,1,True,0,1.0,0.2,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
10,0.871999979019165,0.7168979048728943,0.8068800432928678,434.4781,290,True,1e-05,8,5,0.0,1024,cosine,adamw,2,True,100,1.0,0.1,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
