config_id,eval_accuracy,eval_loss,train_loss,training_time,total_steps,success,learning_rate,batch_size,num_epochs,weight_decay,max_token_length,scheduler_type,optimizer_type,gradient_accumulation_steps,fp16,warmup_steps,max_grad_norm,dropout_rate,label_smoothing,lr_scheduler_type,dataloader_num_workers,save_strategy,evaluation_strategy,logging_steps,adam_beta1,adam_beta2,adam_epsilon
1,0.8240000009536743,0.8328447341918945,1.1824532625967996,471.0445,285,True,1e-05,4,5,0.0,1024,linear,adamw,4,True,100,1.0,0.2,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
2,0.8560000061988831,0.7342912554740906,0.9936763464886209,516.4818,575,True,1e-05,4,5,0.0,1024,cosine,adamw,2,True,100,2.0,0.2,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
3,0.5040000081062317,1.360704779624939,1.5551301922714502,508.6584,285,True,1e-05,4,5,0.01,1024,linear,adamw,4,True,0,1.0,0.2,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
4,0.8799999952316284,0.44864723086357117,0.26225914167321246,540.3267,575,True,1e-05,4,5,0.01,1024,cosine,adamw,2,True,0,2.0,0.1,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
5,0.8960000276565552,0.4398375451564789,0.23003781171318907,750.0118,805,True,1e-05,4,7,0.0,1024,linear,adamw,2,True,0,2.0,0.1,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
6,0.8240000009536743,0.8160340785980225,1.009231720353129,709.2269,399,True,1e-05,4,7,0.0,1024,cosine,adamw,4,True,100,1.0,0.2,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
7,0.7599999904632568,0.7415932416915894,1.182487478232324,696.4385,399,True,1e-05,4,7,0.01,1024,linear,adamw,4,True,0,1.0,0.2,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
8,0.8560000061988831,0.6873800158500671,0.24939020192771225,752.6105,805,True,1e-05,4,7,0.01,1024,cosine,adamw,2,True,0,1.0,0.1,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
9,0.8479999899864197,0.42031267285346985,0.6257170266118542,436.8476,580,True,1e-05,8,5,0.0,1024,linear,adamw,1,True,0,1.0,0.2,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
10,0.871999979019165,0.7168979048728943,0.8068800432928678,434.4781,290,True,1e-05,8,5,0.0,1024,cosine,adamw,2,True,100,1.0,0.1,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
11,0.7760000228881836,0.6832671165466309,1.0929892178239493,436.1733,290,True,1e-05,8,5,0.01,1024,linear,adamw,2,False,0,1.0,0.2,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
12,0.8640000224113464,0.4073072373867035,0.6347389566487279,432.9167,580,True,1e-05,8,5,0.01,1024,cosine,adamw,1,False,0,2.0,0.2,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
13,0.8399999737739563,0.7873321771621704,0.30940161509613684,568.5352,812,True,1e-05,8,7,0.0,1024,linear,adamw,1,False,100,1.0,0.1,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
14,0.8880000114440918,0.6862800717353821,0.5617956093379429,601.8356,812,True,1e-05,8,7,0.0,1024,cosine,adamw,1,False,0,1.0,0.1,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
15,0.871999979019165,0.4660699665546417,0.20077309463852144,605.112,812,True,1e-05,8,7,0.01,1024,linear,adamw,1,True,0,2.0,0.1,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
16,0.8799999952316284,0.3552091121673584,0.6268361319462067,562.5048,406,True,1e-05,8,7,0.01,1024,cosine,adamw,2,False,100,1.0,0.2,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
17,0.8560000061988831,0.781688928604126,0.6635827583179139,501.9589,285,True,2e-05,4,5,0.0,1024,linear,adamw,4,True,100,2.0,0.1,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
18,0.9120000004768372,0.5298710465431213,0.27780218098474585,538.6138,575,True,2e-05,4,5,0.0,1024,cosine,adamw,2,True,100,2.0,0.1,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
19,0.8880000114440918,0.42848312854766846,0.3978572694878829,505.4131,285,True,2e-05,4,5,0.01,1024,linear,adamw,4,True,100,2.0,0.1,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
20,0.8640000224113464,0.4663859009742737,0.48993962826936144,525.9571,575,True,2e-05,4,5,0.01,1024,cosine,adamw,2,True,0,1.0,0.2,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
21,0.9039999842643738,0.36396464705467224,0.3039520405288926,701.4838,399,True,2e-05,4,7,0.0,1024,linear,adamw,4,True,100,2.0,0.1,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
22,0.9039999842643738,0.7034302949905396,0.8278950186899132,691.7408,399,True,2e-05,4,7,0.0,1024,cosine,adamw,4,True,100,2.0,0.2,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
23,0.8799999952316284,0.715513288974762,0.8753072121985873,706.5651,399,True,2e-05,4,7,0.01,1024,linear,adamw,4,True,100,1.0,0.2,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
24,0.8640000224113464,0.7439541816711426,0.7552432400839669,751.5933,805,True,2e-05,4,7,0.01,1024,cosine,adamw,2,True,100,2.0,0.2,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
25,0.8799999952316284,0.7372393012046814,0.6462728303054284,426.465,290,True,2e-05,8,5,0.0,1024,linear,adamw,2,False,0,1.0,0.1,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
26,0.871999979019165,0.5678092241287231,0.4295798942960542,403.9569,580,True,2e-05,8,5,0.0,1024,cosine,adamw,1,True,0,2.0,0.2,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
27,0.8799999952316284,0.710768461227417,0.6213612720884126,435.124,580,True,2e-05,8,5,0.01,1024,linear,adamw,1,False,0,1.0,0.1,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
28,0.8960000276565552,0.6711874604225159,0.6660842500883958,409.4544,290,True,2e-05,8,5,0.01,1024,cosine,adamw,2,True,0,2.0,0.1,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
29,0.8640000224113464,0.562415361404419,0.44341498833571746,569.4516,812,True,2e-05,8,7,0.0,1024,linear,adamw,1,True,100,2.0,0.2,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
30,0.8799999952316284,0.6983413696289062,0.6345377691860856,459.9553,580,True,2e-05,8,7,0.0,1024,cosine,adamw,1,False,100,1.0,0.1,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
31,0.9120000004768372,0.662970781326294,0.5623122829521818,646.5197,812,True,2e-05,8,7,0.01,1024,linear,adamw,1,True,0,1.0,0.1,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
32,0.871999979019165,0.7576956152915955,0.6306038677986032,640.7217,812,True,2e-05,8,7,0.01,1024,cosine,adamw,1,True,0,1.0,0.2,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
33,0.9039999842643738,0.36056622862815857,0.27845900560680187,524.009,285,True,3e-05,4,5,0.0,1024,linear,adamw,4,True,500,1.0,0.1,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
34,0.8640000224113464,0.742453396320343,0.7926371101711107,566.2879,575,True,3e-05,4,5,0.0,1024,cosine,adamw,2,True,100,1.0,0.2,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
35,0.8320000171661377,0.8591588735580444,1.2668320772940653,572.1296,285,True,3e-05,4,5,0.01,1024,linear,adamw,4,True,100,0.5,0.2,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
36,0.871999979019165,0.7359622716903687,0.43011265505915103,613.9873,575,True,3e-05,4,5,0.01,1024,cosine,adamw,2,True,500,0.5,0.2,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
37,0.871999979019165,0.7851248979568481,0.5963799962345858,781.2794,805,True,3e-05,4,7,0.0,1024,linear,adamw,2,True,500,1.0,0.1,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
38,0.871999979019165,0.667971670627594,0.4916783377042689,752.2336,399,True,3e-05,4,7,0.0,1024,cosine,adamw,4,True,500,1.0,0.2,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
39,0.8640000224113464,0.7265714406967163,0.6219290252915002,774.0592,399,True,3e-05,4,7,0.01,1024,linear,adamw,4,True,500,1.0,0.1,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
40,0.8799999952316284,0.7659634947776794,0.45124787720078857,658.0177,693,True,3e-05,4,7,0.01,1024,cosine,adamw,2,True,500,0.5,0.2,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
41,0.871999979019165,0.7572978734970093,0.6360855891786773,468.2224,580,True,3e-05,8,5,0.0,1024,linear,adamw,1,False,500,1.0,0.1,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
42,0.8640000224113464,0.8611354231834412,0.4717747211456299,458.2951,580,True,3e-05,8,5,0.0,1024,cosine,adamw,1,False,100,1.0,0.2,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
43,0.871999979019165,0.7780548334121704,0.6414925542371026,488.4883,580,True,3e-05,8,5,0.01,1024,linear,adamw,1,False,500,1.0,0.1,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
44,0.8799999952316284,0.7139023542404175,0.30319255713758797,459.5685,580,True,3e-05,8,5,0.01,1024,cosine,adamw,1,True,500,0.5,0.1,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
45,0.8640000224113464,0.7253468632698059,0.6196222769215777,574.0399,406,True,3e-05,8,7,0.0,1024,linear,adamw,2,True,100,0.5,0.1,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
46,0.8640000224113464,0.8689802885055542,0.4220308118265838,551.4514,812,True,3e-05,8,7,0.0,1024,cosine,adamw,1,True,100,0.5,0.2,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
47,0.8880000114440918,0.7318884134292603,0.6906053334817119,482.532,696,True,3e-05,8,7,0.01,1024,linear,adamw,1,False,500,1.0,0.2,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
48,0.8799999952316284,0.3766869604587555,0.29479857840329066,455.2836,348,True,3e-05,8,7,0.01,1024,cosine,adamw,2,True,500,1.0,0.1,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
49,0.9039999842643738,0.6848827600479126,0.6257215217922045,502.2842,575,True,5e-05,4,5,0.0,1024,linear,adamw,2,True,500,1.0,0.1,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
50,0.8799999952316284,0.7317910194396973,0.6540493747644257,483.7628,285,True,5e-05,4,5,0.0,1024,cosine,adamw,4,True,100,1.0,0.1,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
51,0.9039999842643738,0.7046571373939514,0.6153353774756716,479.366,285,True,5e-05,4,5,0.01,1024,linear,adamw,4,True,100,0.5,0.1,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
52,0.8960000276565552,0.7058290243148804,0.47892136698183807,502.0709,575,True,5e-05,4,5,0.01,1024,cosine,adamw,2,True,500,1.0,0.2,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
53,0.8960000276565552,0.786720335483551,0.8717261292880639,673.582,399,True,5e-05,4,7,0.0,1024,linear,adamw,4,True,100,1.0,0.2,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
54,0.6880000233650208,1.172456979751587,1.2795267702642839,638.8139,399,True,5e-05,4,7,0.0,1024,cosine,adamw,4,True,100,1.0,0.2,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
55,0.9039999842643738,0.6953566670417786,0.7172460245309318,633.3702,399,True,5e-05,4,7,0.01,1024,linear,adamw,4,True,500,1.0,0.2,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
56,0.871999979019165,0.6921902298927307,0.24547888349769706,635.4475,399,True,5e-05,4,7,0.01,1024,cosine,adamw,4,True,100,0.5,0.1,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
57,0.871999979019165,0.7028023600578308,0.32828294778692313,366.2717,290,True,5e-05,8,5,0.0,1024,linear,adamw,2,True,500,1.0,0.1,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
58,0.2720000147819519,1.8882277011871338,1.8259468078613281,383.1368,580,True,5e-05,8,5,0.0,1024,cosine,adamw,1,False,100,0.5,0.2,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
59,0.8479999899864197,0.8047255873680115,0.4016359049698402,393.6386,580,True,5e-05,8,5,0.01,1024,linear,adamw,1,False,500,1.0,0.2,0.0,linear,0,epoch,epoch,100,0.9,0.999,1e-08
60,0.8560000061988831,0.7855377793312073,0.6617126070219895,368.9786,290,True,5e-05,8,5,0.01,1024,cosine,adamw,2,True,100,0.5,0.1,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
61,0.8479999899864197,0.8177194595336914,0.7542809964400794,528.7913,406,True,5e-05,8,7,0.0,1024,linear,adamw,2,True,500,1.0,0.2,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
